n,E(z) mean,E(z) median,E(z) z_R,E(z) z_Q,E(z) z_tr,D(z) mean,D(z) median,D(z) z_R,D(z) z_Q,D(z) z_tr
10,9.9668,9.809,10.275,9.887125,10.009666666666668,1.0351377600000262,1.4510190000000165,1.9298749999999956,1.2169936093750096,1.7089621111110915
100,10.00398,9.85,10.963,9.917875,10.00552,0.09989135959999373,0.194500000000005,0.9491310000000226,0.146364859374998,0.19361992959998986
1000,9.998897000000001,9.993,11.6665,9.994375,9.996996,0.00961774039097918,0.00645099999999843,0.6935277500000154,0.0027339843749984993,0.019835775984020643
