n,E(z) mean,E(z) median,E(z) z_R,E(z) z_Q,E(z) z_tr,D(z) mean,D(z) median,D(z) z_R,D(z) z_Q,D(z) z_tr
10,0.010019298204172447,0.004804911902212089,0.014660721836625158,0.013146790637025304,0.0051530497550269574,0.0968935753426537,0.13771729317863896,0.1804666334128531,0.11028327510443592,0.15720552219336376
100,0.0024078745574017527,-0.0007155588715136574,0.0006193119245989682,0.004672137062211291,-0.00022314846854440895,0.010174847102580764,0.015477877352678228,0.0904119610562801,0.01191256521132546,0.020432988888713883
1000,0.0001668867548589335,0.0008428048042937745,-0.0013424218272544066,-0.0010462283494455074,0.0009078434773003241,0.0010141045675439804,0.0015130005475782501,0.061630732531922784,0.001274679336820996,0.002008589516592871
