n,E(z) mean,E(z) median,E(z) z_R,E(z) z_Q,E(z) z_tr,D(z) mean,D(z) median,D(z) z_R,D(z) z_Q,D(z) z_tr
10,0.02059079715710891,0.029204115531591933,0.031325988993575825,0.015681011495715543,0.03188031732385914,0.6429767246475295,0.31183076632326046,3.2405491960799218,0.4373071165044332,1.1396317203920767
100,0.002995992982562921,0.003100991511587173,-0.00512957264106945,-2.1141344381271133e-05,0.0174827737618875,0.06424992454612491,0.023647081264029084,1.0329603687437565,0.04012931571982485,0.12794474269519832
1000,-0.0010246738589461783,-0.00015771724760883733,-0.0037671116181861503,-0.0020918656117839256,0.0009319077564111996,0.005644916738386589,0.0021291752449605844,0.03945517950227929,0.0034797414695440405,0.01237916408631218
