n,E(z) mean,E(z) median,E(z) z_R,E(z) z_Q,E(z) z_tr,D(z) mean,D(z) median,D(z) z_R,D(z) z_Q,D(z) z_tr
10,0.007268016742273326,0.009902471093912752,-0.0023286943256294016,0.010381167413469334,-0.00177914173694933,0.10229965454157253,0.236751181338653,0.04386628655894368,0.14356188857826538,0.16053440302432614
100,-0.0031709885167230264,-0.0017613073721773765,0.00016151889122676723,-0.0045624848387366005,-0.0034146091786103226,0.010036972287518509,0.029171297793321775,0.0005968234263094195,0.01505448329327975,0.020426242808567904
1000,0.000910208790111649,0.0011801608764822132,-3.458207557260984e-05,0.0006474109497568237,0.0017088512559435822,0.0009556980789332045,0.0028747007937444677,6.243005766400852e-06,0.001439230650947066,0.001975467314214481
